stream,phase_id,phase_label,leg_triplet,example_window_triplet,n_occurrences,n_phase_dates,support,confidence,consistency,composite_score,low_confidence_flag,p_composite,q_composite
BRENT_session,2,post_ceasefire_complex,FLAT_Q1_0_25|FLAT_Q1_0_25|FLAT_Q1_0_25,global_reopen_pre_mcx|mcx_open_drive|india_morning,8,43,0.1860465116279069,0.4,0.8237547892720306,0.1532567049808429,False,1.0,1.0
WTI_session,2,post_ceasefire_complex,FLAT_Q1_0_25|FLAT_Q1_0_25|FLAT_Q1_0_25,india_morning|india_midday|europe_midday,5,43,0.1162790697674418,0.3333333333333333,0.821656050955414,0.0955414012738853,False,1.0,1.0
WTI_session,6,ceasefire_collapse_renewed_escalation,DOWN_Q4_75_90|DOWN_Q5_90_100|UP_Q4_75_90,mcx_open_drive|india_morning|india_midday,2,3,0.6666666666666666,0.6666666666666666,1.0,0.2666666666666666,True,1.0,1.0
BRENT_session,6,ceasefire_collapse_renewed_escalation,FLAT_Q1_0_25|DOWN_Q3_50_75|FLAT_Q2_25_50,mcx_open_drive|india_morning|india_midday,2,3,0.6666666666666666,1.0,0.7499999999999999,0.1999999999999999,True,1.0,1.0
BRENT_session,6,ceasefire_collapse_renewed_escalation,FLAT_Q1_0_25|UP_Q3_50_75|DOWN_Q1_0_25,india_midday|europe_midday|us_pre_open,2,3,0.6666666666666666,1.0,0.7499999999999999,0.1999999999999999,True,1.0,1.0
WTI_session,6,ceasefire_collapse_renewed_escalation,DOWN_Q5_90_100|DOWN_Q4_75_90|DOWN_Q5_90_100,global_reopen_pre_mcx|mcx_open_drive|india_morning,2,3,0.6666666666666666,1.0,0.7499999999999999,0.1999999999999999,True,1.0,1.0
BRENT_session,9,ceasefire_pause_breakdown_renewed_escalation,FLAT_Q1_0_25|DOWN_Q3_50_75|FLAT_Q2_25_50,mcx_open_drive|india_morning|india_midday,2,4,0.5,1.0,0.6666666666666666,0.1333333333333333,True,1.0,1.0
WTI_session,9,ceasefire_pause_breakdown_renewed_escalation,DOWN_Q3_50_75|FLAT_Q1_0_25|FLAT_Q1_0_25,mcx_open_drive|india_morning|india_midday,2,4,0.5,1.0,0.6666666666666666,0.1333333333333333,True,1.0,1.0
BRENT_session,7,sustained_major_reescalation_hormuz_war,UP_Q3_50_75|UP_Q3_50_75|FLAT_Q1_0_25,europe_midday|us_pre_open|us_open,3,10,0.3,1.0,0.5882352941176471,0.1058823529411764,True,1.0,1.0
BRENT_session,1,full_scale_war,FLAT_Q1_0_25|FLAT_Q1_0_25|FLAT_Q1_0_25,europe_midday|us_pre_open|us_open,3,18,0.1666666666666666,0.3,0.8823529411764706,0.088235294117647,True,1.0,1.0
BRENT_session,1,full_scale_war,FLAT_Q1_0_25|FLAT_Q1_0_25|UP_Q2_25_50,europe_midday|us_pre_open|us_open,3,18,0.1666666666666666,0.3,0.8823529411764706,0.088235294117647,True,1.0,1.0
WTI_session,6,ceasefire_collapse_renewed_escalation,DOWN_Q4_75_90|DOWN_Q5_90_100|DOWN_Q4_75_90,europe_midday|us_pre_open|us_open,1,3,0.3333333333333333,0.3333333333333333,1.0,0.0666666666666666,True,1.0,1.0
WTI_session,6,ceasefire_collapse_renewed_escalation,DOWN_Q5_90_100|UP_Q4_75_90|DOWN_Q3_50_75,europe_midday|us_pre_open|us_open,1,3,0.3333333333333333,0.3333333333333333,1.0,0.0666666666666666,True,1.0,1.0
WTI_session,6,ceasefire_collapse_renewed_escalation,DOWN_Q5_90_100|UP_Q4_75_90|DOWN_Q4_75_90,india_morning|india_midday|europe_midday,1,3,0.3333333333333333,0.3333333333333333,1.0,0.0666666666666666,True,1.0,1.0
WTI_session,6,ceasefire_collapse_renewed_escalation,DOWN_Q5_90_100|UP_Q4_75_90|DOWN_Q5_90_100,us_open|mcx_tail|other_valid_hours,1,3,0.3333333333333333,0.3333333333333333,1.0,0.0666666666666666,True,1.0,1.0
BRENT_session,1,full_scale_war,UP_Q2_25_50|FLAT_Q1_0_25|FLAT_Q1_0_25,europe_midday|us_pre_open|us_open,3,18,0.1666666666666666,0.75,0.631578947368421,0.0631578947368421,True,1.0,1.0
BRENT_session,6,ceasefire_collapse_renewed_escalation,DOWN_Q3_50_75|FLAT_Q2_25_50|UP_Q1_0_25,india_morning|india_midday|europe_midday,1,3,0.3333333333333333,0.5,0.8571428571428571,0.0571428571428571,True,1.0,1.0
BRENT_session,6,ceasefire_collapse_renewed_escalation,DOWN_Q3_50_75|FLAT_Q2_25_50|UP_Q3_50_75,us_open|mcx_tail|other_valid_hours,1,3,0.3333333333333333,0.5,0.8571428571428571,0.0571428571428571,True,1.0,1.0
BRENT_session,6,ceasefire_collapse_renewed_escalation,FLAT_Q2_25_50|FLAT_Q1_0_25|FLAT_Q1_0_25,us_open|us_open|mcx_tail,1,3,0.3333333333333333,0.5,0.8571428571428571,0.0571428571428571,True,1.0,1.0
BRENT_session,6,ceasefire_collapse_renewed_escalation,FLAT_Q2_25_50|FLAT_Q1_0_25|UP_Q3_50_75,india_morning|india_midday|europe_midday,1,3,0.3333333333333333,0.5,0.8571428571428571,0.0571428571428571,True,1.0,1.0
BRENT_session,6,ceasefire_collapse_renewed_escalation,UP_Q3_50_75|DOWN_Q1_0_25|FLAT_Q2_25_50,europe_midday|us_pre_open|us_open,1,3,0.3333333333333333,0.5,0.8571428571428571,0.0571428571428571,True,1.0,1.0
BRENT_session,6,ceasefire_collapse_renewed_escalation,UP_Q3_50_75|DOWN_Q1_0_25|UP_Q3_50_75,india_midday|europe_midday|us_pre_open,1,3,0.3333333333333333,0.5,0.8571428571428571,0.0571428571428571,True,1.0,1.0
WTI_session,6,ceasefire_collapse_renewed_escalation,FLAT_Q1_0_25|FLAT_Q1_0_25|FLAT_Q1_0_25,mcx_open_drive|india_morning|india_midday,1,3,0.3333333333333333,0.5,0.8571428571428571,0.0571428571428571,True,1.0,1.0
WTI_session,6,ceasefire_collapse_renewed_escalation,FLAT_Q1_0_25|FLAT_Q1_0_25|UP_Q2_25_50,india_morning|india_midday|europe_midday,1,3,0.3333333333333333,0.5,0.8571428571428571,0.0571428571428571,True,1.0,1.0
WTI_session,2,post_ceasefire_complex,FLAT_Q1_0_25|DOWN_Q3_50_75|UP_Q2_25_50,global_reopen_pre_mcx|mcx_open_drive|india_morning,4,43,0.0930232558139534,0.4444444444444444,0.739961759082218,0.0550669216061185,True,1.0,1.0
